date,n1,n2,n3,n4,n5,e1,e2
2019-08-16,9,42,10,27,37,1,5
2019-08-20,23,24,22,20,37,1,4
2019-08-23,4,17,42,45,35,8,2
2019-08-27,26,8,35,47,43,9,1
2019-08-30,45,49,27,46,25,6,4
2019-09-03,44,11,38,7,39,10,7
2019-09-06,13,22,40,10,48,5,2
2019-09-10,3,30,49,25,22,3,6
2019-09-13,12,1,42,47,27,6,7
2019-09-17,22,45,43,44,37,1,12
2019-09-20,25,50,21,38,8,4,8
2019-09-24,2,48,33,47,42,1,2
2019-09-27,46,43,41,37,24,8,2
2019-10-01,40,18,11,2,46,4,1
2019-10-04,44,41,35,9,6,9,6
2019-10-08,44,15,49,10,7,3,12
2019-10-11,42,45,19,2,14,5,6
2019-10-15,3,34,31,32,28,4,5
2019-10-18,18,22,42,41,8,11,12
2019-10-22,2,5,33,47,32,7,8
2019-10-25,37,50,34,39,40,4,10
2019-10-29,49,42,28,16,18,10,5
2019-11-01,39,2,44,20,48,5,7
2019-11-05,25,14,33,9,48,12,2
2019-11-08,20,8,45,23,17,2,8
2019-11-12,1,25,21,39,23,2,4
2019-11-15,20,13,34,3,32,4,11
2019-11-19,10,15,42,30,8,4,6
2019-11-22,3,48,32,34,21,3,11
2019-11-26,34,3,15,2,19,5,8
2019-11-29,50,42,12,3,7,6,8
2019-12-03,32,31,38,18,48,12,4
2019-12-06,46,1,39,3,27,1,10
2019-12-10,19,47,21,2,10,8,2
2019-12-13,16,9,23,18,32,2,10
2019-12-17,7,1,12,25,49,9,6
2019-12-20,8,24,32,34,30,3,4
2019-12-24,47,14,11,13,3,3,6
2019-12-27,22,26,35,7,1,5,10
2019-12-31,41,31,48,33,26,4,2
2020-01-03,15,5,20,47,36,12,8
2020-01-07,8,37,12,5,43,11,6
2020-01-10,32,44,17,6,46,2,6
2020-01-14,25,39,21,44,29,9,8
2020-01-17,20,8,29,44,19,8,3
2020-01-21,36,10,24,11,46,3,5
2020-01-24,9,6,4,3,24,8,5
2020-01-28,31,27,1,19,38,5,4
2020-01-31,20,23,13,30,18,2,4
2020-02-04,35,21,33,23,47,6,7
2020-02-07,17,15,9,25,40,9,3
2020-02-11,43,26,24,32,46,6,10
